index,share,m1R,m1P,m2R,m2P,m3R,m3P,m1E,m2E,m3E,m1EQ,m2EQ,m3EQ,variance,stdDev,mi,ABEV3.SA,HEIA.AS,ITSA3.SA,BBAS3.SA,CMIG3.SA,CPLE6.SA,MRVE3.SA,CYRE3.SA,CCRO3.SA,ECOR3.SA,EGIE3.SA,MULT3.SA,IGTA3.SA,LREN3.SA,MGLU3.SA,RENT3.SA,MOVI3.SA,VVAR3.SA
0,ABEV3.SA,0.8299999237060547,0.045856348409571604,-1.7000007629394531,-0.08970979918186323,2.5,0.1694915254237288,-7.9781726241865565,-21.53478738333004,4.385345077229164,63.6512384213198,463.74706764523074,19.23125144637806,273.3147787564643,16.532234536095363,-8.375871643429145,273.3147787564643,120.93519747018682,53.046438546487565,206.65224852647904,331.3202942054899,135.59353518522715,424.84929303783014,318.9404141171502,253.32486285928718,299.36809002934376,270.3033142862021,267.6105252854029,199.29024941501913,209.64658963326804,232.21486242933088,346.4714904865951,461.4415722559646,340.44643839618317
1,HEIA.AS,2.3199996948242188,0.024765154646311842,3.5199966430664062,0.036951465086390516,5.8600006103515625,0.06306500996370043,-10.001647505009096,-8.783016461001228,-6.171661973270235,100.03295281445467,77.14137815421854,38.08941151230986,107.63187124049153,10.374578123494542,-8.31877531309352,120.93519747018682,107.63187124049153,5.760509304922458,119.59507404935121,325.9166786594288,180.59876403852655,315.4350176053581,295.8780860430865,160.60459656131036,289.87218639318155,223.04565629230413,223.72454137668802,163.7256756379276,153.98887288376747,290.31887564670063,341.28670845404025,440.3193262003664,488.90193699621625
2,ITSA3.SA,0.7100000381469727,0.05247598316035269,-0.7799997329711914,-0.05559513526847428,0.15999984741210938,0.012223059247289423,4.337207602118485,-6.469904240764211,0.3119152108121588,18.81136978387438,41.85966088465872,0.09729109873599345,30.38416088363455,5.512182950849377,-0.606927142611189,53.046438546487565,5.760509304922458,30.38416088363455,55.86899975415839,8.175435254595193,8.652017544078198,100.47139670635744,63.88638988156519,49.28107549929692,30.800126316570964,51.269213993573715,46.36906695410593,38.80445221119971,36.3476360384606,-7.616063714936106,29.19657719375862,47.96152914491539,7.019560120738902
3,BBAS3.SA,5.569999694824219,0.11570419122236088,-2.6999969482421875,-0.05084740161636846,3.69000244140625,0.07899812703342315,-2.8150725417054696,-19.470231825578406,-6.485678960599242,7.924633415064093,379.0899273417662,42.06403157995966,214.53929616839497,14.647160003509041,-9.590327775961038,206.65224852647904,119.59507404935121,55.86899975415839,214.53929616839497,348.2592070610963,203.3632540080231,491.89285314342004,413.62504337365215,244.7204164179821,350.54767995174666,315.2610033212276,307.6182786216824,233.40330461657175,217.7902464927255,288.3572288208021,400.77332972407737,534.0967541094136,523.6305352742557
4,CMIG3.SA,1.140000343322754,0.07845838708006907,2.2200002670288086,0.14285716039114393,2.4700002670288086,0.16154351034605655,-30.44006707372005,-24.000189742612566,-22.131554747121303,926.5976834525757,576.0091076814055,489.80571552482746,996.2062533294043,31.562735200381546,-25.523937187817975,331.3202942054899,325.9166786594288,8.175435254595193,348.2592070610963,996.2062533294043,567.8466254280955,947.9507762208655,908.7664814136097,470.68352245078086,888.7595494413104,676.2331491534015,678.4934027848138,496.31986684215013,459.79653377204784,904.5123756602668,1047.0209451406745,1348.1411298245207,1542.6652801170421
5,CPLE6.SA,6.319995880126953,0.10142827380575214,7.25,0.10630499009409214,1.4799957275390625,0.020008053306951053,-12.631304340104318,-12.14363271127032,-20.77332638998443,159.5498493323382,147.46781542623452,431.5310893048235,369.2743770316981,19.216513134065142,-15.182754480453022,135.59353518522715,180.59876403852655,8.652017544078198,203.3632540080231,567.8466254280955,369.2743770316981,585.8804049678372,583.3630159553426,258.17826764834086,536.2162450887596,414.4296957511946,411.5177018999134,305.11454897315144,264.3815059761,546.4458575727308,626.5814988988172,809.5687343108618,1001.4511428595017
6,MRVE3.SA,4.720001220703125,0.27002296020079103,-0.2999992370605469,-0.0136985955381802,2.530000686645508,0.13266915192097115,-11.897055638279092,-40.26921121217622,-25.632436466261076,141.53993286030834,1621.6093716508587,657.0217991969106,1210.0855518540388,34.78628396155644,-25.932901105572128,424.84929303783014,315.4350176053581,100.47139670635744,491.89285314342004,947.9507762208655,585.8804049678372,1210.0855518540388,1080.1158884020022,574.8422665102323,937.1921910299036,800.2354750914863,784.7201327444608,591.5094464784486,535.6414133136695,839.0109037691318,1079.3110320765225,1422.4668901386624,1541.5630439568772
7,CYRE3.SA,6.179998397827148,0.23215620597272377,2.049999237060547,0.06623583801378394,2.25,0.07317073170731707,-13.940656972110101,-30.532693768004084,-29.83920439865077,194.34191681404198,932.2453887307154,890.3781191444596,1008.4827123446084,31.756616827751163,-24.770851712921655,318.9404141171502,295.8780860430865,63.88638988156519,413.62504337365215,908.7664814136097,583.3630159553426,1080.1158884020022,1008.4827123446084,493.21915441602613,888.5877832790225,731.4727288726638,719.8134028667785,540.0661389249876,477.5035777696704,839.3442754761384,1028.2462422730487,1345.088604819836,1554.6700663546671
8,CCRO3.SA,1.6600017547607422,0.09690612002846437,-0.5499992370605469,-0.02910048932071442,1.9500007629394531,0.118902488310802,-8.980199899008758,-21.580860833926636,-6.780563070774995,80.6439902261569,465.73355433330863,45.97603555675762,296.1767900581116,17.20978762385264,-12.44720793457013,253.32486285928718,160.60459656131036,49.28107549929692,244.7204164179821,470.68352245078086,258.17826764834086,574.8422665102323,493.21915441602613,296.1767900581116,445.6618719796435,379.80086778195255,374.7687827384744,280.2329743887879,266.75553032494565,393.1001682750297,515.8967908650634,679.2930259465064,676.545638425207
9,ECOR3.SA,1.9800004959106445,0.13953492279505483,1.6599998474121094,0.1024691215576774,1.760000228881836,0.10931678181247162,-21.178590337014906,-24.885170460752647,-24.200404435273228,448.53268866310117,619.2717088607161,585.6595748307922,826.7319861773046,28.752947434607545,-23.421388411013595,299.36809002934376,289.87218639318155,30.800126316570964,350.54767995174666,888.7595494413104,536.2162450887596,937.1921910299036,888.5877832790225,445.6618719796435,826.7319861773046,652.2506151146636,648.3629275261178,480.09421236544665,434.2869979689809,814.6215129742892,965.9895858217499,1252.679291632091,1444.1983349963498
10,EGIE3.SA,7.090000152587891,0.15682371811909518,1.4300003051757812,0.027837265620190555,4.299999237060547,0.08865977808372262,-11.649704370391317,-24.54834962028178,-18.466098373928574,135.71561191751456,602.6214690795886,340.99678915560753,539.6669350763553,23.230732555740797,-18.22138412153389,270.3033142862021,223.04565629230413,51.269213993573715,315.2610033212276,676.2331491534015,414.4296957511946,800.2354750914863,731.4727288726638,379.80086778195255,652.2506151146636,539.6669350763553,531.9745050147906,398.2623999864704,360.2210811215214,608.0364088105796,755.5763481759535,989.2361051264035,1101.2298830820348
11,MULT3.SA,4.239999771118164,0.14466052024480439,1.1700019836425781,0.03482148918976054,2.960000991821289,0.09305253195588502,-12.787402114564559,-23.771305220068946,-17.948200943456495,163.51765283957016,565.0749518656771,322.1379171066926,525.36526090597,22.920847735325367,-18.16896942603,267.6105252854029,223.72454137668802,46.36906695410593,307.6182786216824,678.4934027848138,411.5177018999134,784.7201327444608,719.8134028667785,374.7687827384744,648.3629275261178,531.9745050147906,525.36526090597,392.3635688163967,356.1367075651198,609.9395233427073,752.4762863041806,983.4504819529182,1095.9606666892453
12,IGTA3.SA,5.760002136230469,0.11798447710439315,1.0,0.01879699221163596,3.270000457763672,0.06420578123246853,-8.30027734441045,-18.219025833686167,-13.67814693160291,68.89460399413339,331.93290232852394,187.0917034825181,293.9596049025877,17.145250214056013,-13.39915003656651,199.29024941501913,163.7256756379276,38.80445221119971,233.40330461657175,496.31986684215013,305.11454897315144,591.5094464784486,540.0661389249876,280.2329743887879,480.09421236544665,398.2623999864704,392.3635688163967,293.9596049025877,265.61155086451004,446.2595920504771,555.8267881248935,728.1139066045702,810.1800349016128
13,LREN3.SA,4.6999969482421875,0.08969459563700564,0.20000076293945312,0.0035087853147272477,4.700000762939453,0.08952382405598959,-9.303260937071684,-17.921841969299525,-9.320338095173291,86.55066406324391,321.1924195725459,86.86870220833849,247.30589292206415,15.725962384606678,-12.181813667181501,209.64658963326804,153.98887288376747,36.3476360384606,217.7902464927255,459.79653377204784,264.3815059761,535.6414133136695,477.5035777696704,266.75553032494565,434.2869979689809,360.2210811215214,356.1367075651198,265.61155086451004,247.30589292206415,399.8622386910958,504.1899538775176,660.270727272737,700.5123838463475
14,MGLU3.SA,3.700000762939453,0.08187654072537665,8.799999237060547,0.18144328323836179,4.619998931884766,0.08769929584512272,-26.91425790834845,-16.957583657049934,-26.331982396373842,724.3772787570971,287.559643485847,693.3732969229419,852.6551095829429,29.20025872458912,-23.401274653924077,232.21486242933088,290.31887564670063,-7.616063714936106,288.3572288208021,904.5123756602668,546.4458575727308,839.0109037691318,839.3442754761384,393.1001682750297,814.6215129742892,608.0364088105796,609.9395233427073,446.2595920504771,399.8622386910958,852.6551095829429,960.1470946106158,1232.1735550904366,1493.007136507488
15,RENT3.SA,6.290500640869141,0.1476314087284268,6.430000305175781,0.13098391291890857,6.520000457763672,0.13306123383191168,-26.404514675082027,-28.069264256033854,-27.86153216473354,697.1983952266221,787.8835958750598,776.2649745664816,1130.6734828340818,33.62548858877863,-27.445103698616474,346.4714904865951,341.28670845404025,29.19657719375862,400.77332972407737,1047.0209451406745,626.5814988988172,1079.3110320765225,1028.2462422730487,515.8967908650634,965.9895858217499,755.5763481759535,752.4762863041806,555.8267881248935,504.1899538775176,960.1470946106158,1130.6734828340818,1463.7501402072478,1691.2761844755696
16,MOVI3.SA,3.479999542236328,0.20938624347246687,2.9000015258789062,0.15025915235842185,3.270000457763672,0.17274170127031632,-32.300085362873816,-38.21279447427832,-35.96453958308887,1043.2955144489354,1460.2176615334356,1293.4481074235662,1898.4806417029686,43.571557714901225,-35.492473140080335,461.4415722559646,440.3193262003664,47.96152914491539,534.0967541094136,1348.1411298245207,809.5687343108618,1422.4668901386624,1345.088604819836,679.2930259465064,1252.679291632091,989.2361051264035,983.4504819529182,728.1139066045702,660.270727272737,1232.1735550904366,1463.7501402072478,1898.4806417029686,2179.6214812341705
17,VVAR3.SA,2.2799997329711914,0.24782606306959365,3.6700000762939453,0.31996512561935825,0.6900005340576172,0.04775090264120271,-36.7716028260561,-29.557696571079646,-56.779118868895196,1352.1507743972172,873.6574265880134,3223.8683395281305,2724.8382702566805,52.19998343157477,-41.036139422010315,340.44643839618317,488.90193699621625,7.019560120738902,523.6305352742557,1542.6652801170421,1001.4511428595017,1541.5630439568772,1554.6700663546671,676.545638425207,1444.1983349963498,1101.2298830820348,1095.9606666892453,810.1800349016128,700.5123838463475,1493.007136507488,1691.2761844755696,2179.6214812341705,2724.8382702566805
